1056;Fix the bugs in your project;0
1076;Bring coffee to office;2
1097;Fix the bugs in your project;0
1081;Fix the bugs in your project;0
1002;Deliver financial report;1
1029;Create a new database;2
1066;Bring coffee to office;2
1084;Bring coffee to office;0
1099;Bring coffee to office;0
1049;Bring coffee to office;1
1100;Deliver financial report;1
1044;Deliver financial report;0
1033;Fix the bugs in your project;0
1078;Deliver financial report;0
1004;Deliver financial report;0
1051;Brainstorm for the new project;0
1068;Bring coffee to office;0
1010;Bring coffee to office;2
1054;Fix the bugs in your project;2
1006;Fix the bugs in your project;2
1053;Fix the bugs in your project;1
1019;Create a new database;1
1059;Deliver financial report;1
1041;Deliver financial report;2
1064;Brainstorm for the new project;1
1067;Brainstorm for the new project;2
1030;Bring coffee to office;0
1063;Deliver financial report;2
1000;Deliver financial report;1
1005;Deliver financial report;2
1086;Fix the bugs in your project;0
1070;Deliver financial report;0
1071;Brainstorm for the new project;2
1036;Create a new database;1
1088;Fix the bugs in your project;1
1038;Deliver financial report;1
1027;Create a new database;2
1010;Brainstorm for the new project;1
1098;Fix the bugs in your project;2
1052;Create a new database;1
1053;Brainstorm for the new project;0
1055;Bring coffee to office;2
1043;Bring coffee to office;0
1006;Create a new database;1
1021;Deliver financial report;1
1038;Bring coffee to office;1
1070;Bring coffee to office;1
1058;Bring coffee to office;2
1067;Bring coffee to office;1
1035;Bring coffee to office;1
